Vehicle,Types,Operator,train_id,Line_Num,Departure,Destination,Direction,Date,Note,X_28_谷山,X_27_上塩屋,X_26_笹貫,X_25_脇田,X_24_宇宿一丁目,X_23_二軒茶屋,X_22_南鹿児島駅前,X_21_涙橋,X_20_郡元(南側),X_19_中郡,X_18_純心学園前,X_17_工学部前,X_16_唐湊,X_15_神田(交通局前),X_14_市立病院前,X_13_中州通,X_12_都通,X_11_鹿児島中央駅前,X_10_高見橋,X_09_加治屋町,X_08_高見馬場,X_07_天文館通,X_06_いづろ通,X_05_朝日通,X_04_市役所前,X_03_水族館口,X_02_桜島桟橋通,X_01_鹿児島駅前
tram,local,市電,WE003U001,直通,X_28_谷山,X_01_鹿児島駅前,up,weekday,,7:16,7:17,7:19,7:20,7:21,7:22,7:24,7:25,7:26,7:31,7:32,7:33,7:34,7:36,7:37,7:38,7:39,7:43,7:45,7:47,7:49,7:51,7:53,7:55,7:56,7:57,7:58,7:59
tram,local,市電,WE003U002,直通,X_28_谷山,X_01_鹿児島駅前,up,weekday,,7:28,7:29,7:31,7:32,7:33,7:34,7:36,7:37,7:38,7:43,7:44,7:45,7:46,7:48,7:49,7:50,7:51,7:55,7:57,7:59,8:01,8:03,8:05,8:07,8:08,8:09,8:10,8:11
tram,local,市電,WE003U003,直通,X_28_谷山,X_01_鹿児島駅前,up,weekday,,7:38,7:39,7:41,7:42,7:43,7:44,7:46,7:47,7:48,7:53,7:54,7:55,7:56,7:58,7:59,8:00,8:01,8:05,8:07,8:09,8:11,8:13,8:15,8:17,8:18,8:19,8:20,8:21
tram,local,市電,WE003U004,直通,X_28_谷山,X_01_鹿児島駅前,up,weekday,,8:10,8:11,8:13,8:14,8:15,8:16,8:18,8:19,8:20,8:25,8:26,8:27,8:28,8:30,8:31,8:32,8:33,8:37,8:39,8:41,8:43,8:45,8:47,8:49,8:50,8:51,8:52,8:53
tram,local,市電,WE003U005,直通,X_28_谷山,X_01_鹿児島駅前,up,weekday,,16:48,16:49,16:51,16:52,16:53,16:54,16:56,16:57,16:58,17:03,17:04,17:05,17:06,17:08,17:09,17:10,17:11,17:15,17:17,17:19,17:21,17:23,17:25,17:27,17:28,17:29,17:30,17:31
tram,local,市電,WE090U001,,X_28_谷山,X_15_神田(交通局前),up,weekday,超低床電車,22:08,22:09,22:11,22:12,22:13,22:14,22:14,22:15,22:17,22:19,22:21,22:22,22:23,22:25,,,,,,,,,,,,,,
tram,local,市電,WE090U002,,X_28_谷山,X_15_神田(交通局前),up,weekday,,22:20,22:21,22:23,22:24,22:25,22:26,22:26,22:27,22:29,22:31,22:33,22:34,22:35,22:37,,,,,,,,,,,,,,
tram,local,市電,WE090U003,,X_28_谷山,X_15_神田(交通局前),up,weekday,,22:33,22:34,22:36,22:37,22:38,22:39,22:39,22:40,22:42,22:44,22:46,22:47,22:48,22:50,,,,,,,,,,,,,,
tram,local,市電,WE090U004,,X_28_谷山,X_15_神田(交通局前),up,weekday,,22:46,22:47,22:49,22:50,22:51,22:52,22:52,22:53,22:55,22:57,22:59,23:00,23:01,23:03,,,,,,,,,,,,,,
tram,local,市電,WE090U005,,X_28_谷山,X_15_神田(交通局前),up,weekday,超低床電車,23:00,23:01,23:03,23:04,23:05,23:06,23:06,23:07,23:09,23:11,23:13,23:14,23:15,23:17,,,,,,,,,,,,,,
tram,local,市電,WE090U006,,X_28_谷山,X_15_神田(交通局前),up,weekday,,23:23,23:24,23:26,23:27,23:28,23:29,23:29,23:30,23:32,23:34,23:36,23:37,23:38,23:40,,,,,,,,,,,,,,
tram,local,市電,SA090U001,,X_28_谷山,X_15_神田(交通局前),up,Saturday,,22:05,22:06,22:07,22:09,22:10,22:11,22:11,22:12,22:14,22:16,22:18,22:19,22:20,22:22,,,,,,,,,,,,,,
tram,local,市電,SA090U002,,X_28_谷山,X_15_神田(交通局前),up,Saturday,超低床電車,22:17,22:18,22:19,22:21,22:22,22:23,22:23,22:24,22:26,22:28,22:30,22:31,22:32,22:34,,,,,,,,,,,,,,
tram,local,市電,SA090U003,,X_28_谷山,X_15_神田(交通局前),up,Saturday,,22:30,22:31,22:32,22:34,22:35,22:36,22:36,22:37,22:39,22:41,22:43,22:44,22:45,22:47,,,,,,,,,,,,,,
tram,local,市電,SA090U004,,X_28_谷山,X_15_神田(交通局前),up,Saturday,,22:45,22:46,22:47,22:49,22:50,22:51,22:51,22:52,22:54,22:56,22:58,22:59,23:00,23:02,,,,,,,,,,,,,,
tram,local,市電,SA090U005,,X_28_谷山,X_15_神田(交通局前),up,Saturday,超低床電車,23:00,23:01,23:02,23:04,23:05,23:06,23:06,23:07,23:09,23:11,23:13,23:14,23:15,23:17,,,,,,,,,,,,,,
tram,local,市電,SA090U006,,X_28_谷山,X_15_神田(交通局前),up,Saturday,,23:23,23:24,23:25,23:27,23:28,23:29,23:29,23:30,23:32,23:34,23:36,23:37,23:38,23:40,,,,,,,,,,,,,,
tram,local,市電,HO090U001,,X_28_谷山,X_15_神田(交通局前),up,Holiday,,22:07,22:08,22:09,22:11,22:12,22:13,22:13,22:14,22:16,22:18,22:20,22:21,22:22,22:24,,,,,,,,,,,,,,
tram,local,市電,HO090U001,,X_28_谷山,X_15_神田(交通局前),up,Holiday,,22:17,22:18,22:19,22:21,22:22,22:23,22:23,22:24,22:26,22:28,22:30,22:31,22:32,22:34,,,,,,,,,,,,,,
tram,local,市電,HO090U001,,X_28_谷山,X_15_神田(交通局前),up,Holiday,超低床電車,22:30,22:31,22:32,22:34,22:35,22:36,22:36,22:37,22:39,22:41,22:43,22:44,22:45,22:47,,,,,,,,,,,,,,
tram,local,市電,HO090U001,,X_28_谷山,X_15_神田(交通局前),up,Holiday,超低床電車,22:45,22:46,22:47,22:49,22:50,22:51,22:51,22:52,22:54,22:56,22:58,22:59,23:00,23:02,,,,,,,,,,,,,,
tram,local,市電,HO090U001,,X_28_谷山,X_15_神田(交通局前),up,Holiday,,23:23,23:24,23:25,23:27,23:28,23:29,23:29,23:30,23:32,23:34,23:36,23:37,23:38,23:40,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
